iter	Passed	Remaining
545	595363	495046
546	596432	493937
547	597498	492827
548	598603	491748
549	599673	490641
550	600735	489528
551	601815	488429
552	602853	487297
553	603948	486211
554	605054	485133
555	606147	484046
556	607195	482921
557	608273	481822
558	609367	480735
559	610463	479649
560	611596	478593
561	612718	477528
562	613805	476435
563	614902	475350
564	615946	474224
565	617004	473109
566	618130	472046
567	619256	470984
568	620313	469868
569	621387	468765
570	622451	467655
571	623521	466551
572	624592	465446
573	625675	464351
574	626724	463231
575	627779	462115
576	628910	461055
577	630033	459990
578	631113	458892
579	632202	457801
580	633276	456700
581	634360	455605
582	635462	454524
583	636525	453415
584	637587	452306
585	638674	451214
586	639917	450231
587	641032	449158
588	642130	448074
589	643214	446979
590	644280	445872
591	645349	444767
592	646464	443694
593	647516	442578
594	648555	441453
595	649588	440325
596	650671	439230
597	651748	438131
598	652827	437034
599	653938	435959
600	655004	434852
601	656101	433768
602	657175	432667
603	658278	431586
604	659344	430481
605	660435	429391
606	661504	428288
607	662591	427196
608	663650	426087
609	664722	424986
610	665781	423877
611	666881	422793
612	668036	421745
613	669139	420664
614	670227	419573
615	671308	418478
616	672439	417413
617	673529	416323
618	674635	415244
619	675719	414150
620	676805	413058
621	677874	411955
622	678996	410885
623	680133	409823
624	681220	408732
625	682300	407636
626	683393	406548
627	684483	405458
628	685551	404355
629	686614	403249
630	687671	402140
631	688735	401036
632	689830	399949
633	690924	398861
634	691982	397753
635	693028	396638
636	694165	395576
637	695239	394477
638	696289	393365
639	697399	392287
640	698480	391192
641	699588	390113
642	700687	389028
643	701781	387941
644	702859	386845
645	704015	385792
646	705235	384772
647	706322	383681
648	707429	382600
649	708488	381493
650	709581	380405
651	710639	379298
652	711763	378226
653	712855	377137
654	713915	376031
655	715026	374953
656	716113	373861
657	717181	372760
658	718302	371686
659	719363	370581
660	720415	369471
661	721501	368379
662	722546	367267
663	723642	366180
664	724740	365094
665	725807	363993
666	726838	362874
667	727976	361808
668	729082	360727
669	730198	359649
670	731338	358584
671	732435	357498
672	733498	356395
673	734616	355318
674	735754	354252
675	736879	353178
676	737990	352098
677	739055	350997
678	740124	349897
679	741178	348790
680	742267	347699
681	743327	346595
682	744391	345493
683	745475	344400
684	746522	343291
685	747615	342203
686	748698	341110
687	749765	340009
688	750837	338912
689	751921	337819
690	753001	336725
691	754152	335663
692	755239	334572
693	756304	333471
694	757431	332397
695	758522	331308
696	759625	330224
697	760720	329137
698	761797	328041
699	762906	326959
700	764017	325878
701	765192	324825
702	766379	323776
703	767465	322684
704	768496	321569
705	769584	320478
706	770699	319398
707	771814	318318
708	772888	317222
709	773973	316129
710	775011	315018
711	776111	313932
712	777192	312839
713	778260	311740
714	779322	310638
715	780405	309546
716	781487	308453
717	782556	307355
718	783587	306241
719	784688	305156
720	785750	304055
721	786838	302965
722	787936	301878
723	789036	300792
724	790166	299718
725	791281	298637
726	792416	297564
727	793473	296462
728	794538	295363
729	795629	294274
730	796746	293193
731	797835	292103
732	798942	291019
733	800023	289926
734	801110	288835
735	802194	287743
736	803264	286646
737	804347	285554
738	805419	284457
739	806531	283375
740	807643	282293
741	808748	281209
742	809809	280109
743	810885	279014
744	811982	277926
745	813106	276848
746	814187	275755
747	815266	274662
748	816368	273576
749	817434	272478
750	818541	271393
751	819667	270315
752	820787	269235
753	821900	268153
754	823006	267068
755	824054	265964
756	825145	264874
757	826191	263770
758	827301	262687
759	828394	261598
760	829557	260531
761	830675	259449
762	831762	258358
763	832819	257258
764	833894	256163
765	834966	255068
766	836030	253970
767	837102	252874
768	838190	251783
769	839272	250691
770	840338	249594
771	841428	248504
772	842492	247407
773	843579	246316
774	844637	245217
775	845717	244124
776	846806	243034
777	847890	241942
778	849023	240865
779	850130	239780
780	851229	238693
781	852305	237599
782	853406	236512
783	854449	235409
784	855561	234325
785	856630	233230
786	857690	232132
787	858784	231043
788	859919	229965
789	860983	228869
790	862076	227780
791	863142	226683
792	864204	225586
793	865280	224493
794	866329	223393
795	867419	222303
796	868522	221217
797	869649	220136
798	870683	219033
799	871783	217945
800	872930	216870
801	874013	215778
802	875081	214683
803	876145	213587
804	877214	212492
805	878310	211404
806	879396	210314
807	880496	209226
808	881580	208135
809	882693	207051
810	883773	205959
811	884797	204854
812	885868	203760
813	886965	202672
814	888045	201580
815	889122	200488
816	890195	199395
817	891344	198318
818	892466	197236
819	893576	196151
820	894629	195053
821	895691	193957
822	896771	192865
823	897853	191774
824	898968	190690
825	900020	189592
826	901117	188504
827	902184	187410
828	903246	186315
829	904352	185228
830	905441	184139
831	906499	183043
832	907579	181951
833	908695	180867
834	909806	179782
835	910907	178694
836	912033	177612
837	913159	176529
838	914231	175436
839	915311	174345
840	916438	173262
841	917503	172168
842	918589	171077
843	919665	169985
844	920736	168892
845	921823	167802
846	922877	166706
847	923934	165610
848	925021	164520
849	926068	163423
850	927160	162334
851	928210	161238
852	929306	160150
853	930422	159065
854	931473	157969
855	932530	156874
856	933638	155788
857	934730	154698
858	935844	153613
859	936975	152530
860	938108	151448
861	939241	150365
862	940333	149276
863	941457	148192
864	942536	147101
865	943616	146009
866	944674	144915
867	945722	143819
868	946813	142730
869	947882	141637
870	948943	140543
871	950018	139452
872	951159	138370
873	952220	137276
874	953264	136180
875	954358	135091
876	955434	134000
877	956514	132909
878	957732	131838
879	958810	130746
880	959852	129650
881	960952	128562
882	962087	127479
883	963166	126388
884	964228	125295
885	965309	124204
886	966416	123117
887	967491	122025
888	968575	120935
889	969667	119846
890	970783	118760
891	971893	117673
892	972996	116585
893	974063	115492
894	975149	114403
895	976218	113311
896	977295	112220
897	978392	111131
898	979448	110038
899	980538	108948
900	981598	107855
901	982695	106767
902	983763	105675
903	984820	104582
904	985846	103486
905	986794	102382
906	987750	101279
907	988736	100180
908	989703	99079
909	990651	97976
910	991610	96875
911	992575	95774
912	993533	94674
913	994623	93586
914	995770	92503
915	996867	91415
916	997978	90329
917	999090	89243
918	1000189	88155
919	1001281	87067
920	1002386	85980
921	1003498	84894
922	1004582	83805
923	1005661	82716
924	1006736	81627
925	1007765	80534
926	1008870	79447
927	1009926	78356
928	1010995	77266
929	1012086	76178
930	1013182	75090
931	1014414	74013
932	1015509	72925
933	1016593	71836
934	1017666	70746
935	1018737	69657
936	1019794	68566
937	1020852	67476
938	1021949	66388
939	1023017	65298
940	1024104	64210
941	1025174	63121
942	1026255	62032
943	1027351	60944
944	1028471	59858
945	1029613	58772
946	1030730	57686
947	1031872	56600
948	1033020	55515
949	1034093	54425
950	1035280	53342
951	1036351	52253
952	1037402	51162
953	1038456	50072
954	1039544	48983
955	1040646	47895
956	1041746	46807
957	1042839	45719
958	1043942	44631
959	1045038	43543
